OBJECTID,UNIQUE_ID,Pentad NAME,PENTAD,VEG NAME CENTROID,Veg Extent,Veg_WEIGHT,MAX_OF_PROPORTION,ACCESSIBLE,PREFERRED Pentad,SG_APPLICATION,BIOREGION,Rain_season,Elev_range,Elev,MAP_CTN,PEMO,Chill,MinT_07,MAP,Frost,MeanT_02,APAN,MeanT_07,GDD0,GDD5,MTCO,MTWA,AETPET,WET,DRY,tri_mean,tri_sd,tri_med
1765,4346,Eastern Cape_3300_2450,3300_2450,Sundays Noorsveld,1271.1406,6245,95,1,0,221 ER,Albany Thicket,6,141,349.4284,33.44,1869.36,197.828,4.6,234.08,4.6,23.96,2349.4961,12.28,6733.7,4908.7,11.7,24.2,0.223,0,-94.8,47.39954349,26.88865654,40.51542869
1766,4347,Eastern Cape_3300_2455,3300_2455,Sundays Noorsveld,1271.1406,6449,95,1,1,221 ER,Albany Thicket,6,126,316.0324,32.88,1865.24,140.032,5,242.8,4.24,24,2344.696,12.6,6733.7,4908.7,11.7,24.2,0.223,0,-94.8,40.18734772,16.58827907,37.18870796
1767,4348,Eastern Cape_3300_2500,3300_2500,Sundays Noorsveld,1271.1406,6351,95,1,0,221 ER,Albany Thicket,6,143,310.3887,31.88,1852.72,97.568,5.12,256.16,3.84,24,2329.1479,13,6872.9,5047.9,11.8,24.7,0.209,0,-98.8,41.47776596,13.97756918,39.84971769
1768,4349,Eastern Cape_3300_2505,3300_2505,Sundays Noorsveld,1271.1406,6002,95,1,0,Buffer,Albany Thicket,6,152,291.7617,30.52,1830.76,38.9,5.68,273.08,3.96,24,2301.1599,13,6872.9,5047.9,11.8,24.7,0.209,0,-98.8,46.10910466,29.03890496,39.43982708
1771,4352,Eastern Cape_3300_2520,3300_2520,Sundays Thicket,5235.6498,5435,101,1,0,221 ER,Albany Thicket,5.52,393,508.8362,27.6,1724.6801,276.544,4.76,340.08,5.56,23.08,2168.0559,11.96,6539.8,4714.8,11.8,23.2,0.297,0,-65.3,154.3830965,106.4363174,118.7476304
1772,4353,Eastern Cape_3300_2525,3300_2525,Bedford Dry Grassland,2050.8676,6389,101,1,0,221 ER,Sub-Escarpment Grassland Bioregion,5.6,286,551.6511,27.48,1681.16,317.428,4.56,334.96,5.92,22.52,2113.812,11.88,6539.8,4714.8,11.8,23.2,0.297,0,-65.3,130.8384511,94.23979836,91.50136411
1773,4354,Eastern Cape_3300_2530,3300_2530,Bedford Dry Grassland,2050.8676,6783,101,1,0,221 ER,Sub-Escarpment Grassland Bioregion,6,239,566.634,24.96,1643.12,346.64,4.48,338.72,6.6,22.16,2066.532,11.96,6344.4,4519.4,12,22.2,0.378,0,-35.4,94.48616938,51.00107107,80.17792562
1774,4355,Eastern Cape_3300_2535,3300_2535,Albany Broken Veld,1647.9217,6485,101,1,0,221 ER,Lower Karoo Bioregion,6,145,556.704,24.6,1629.16,343.296,4.68,328.44,6.28,22,2048.6279,12,6344.4,4519.4,12,22.2,0.378,0,-35.4,58.11439526,32.19276067,49.34065235
1775,4356,Eastern Cape_3300_2540,3300_2540,Albany Broken Veld,1647.9217,6487,101,1,0,221 ER,Lower Karoo Bioregion,6,206,538.1978,24.84,1619.36,325.148,5,336.8,5.16,22,2036.78,12,6344.4,4519.4,12,22.2,0.378,0,-35.4,62.77822599,59.48967563,47.5394573
1776,4357,Eastern Cape_3300_2545,3300_2545,Albany Broken Veld,1647.9217,5812,95,1,0,221 ER,Lower Karoo Bioregion,6,238,552.7844,25.4,1600.5601,330.172,5,351.52,4.84,22,2013.572,12,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,70.66709539,49.18431409,55.86591089
1777,4358,Eastern Cape_3300_2550,3300_2550,Great Fish Thicket,6763.3653,5261,95,1,0,221 ER,Albany Thicket,6,133,509.3537,25.6,1593,309.976,5,346.44,3.84,22,2003.812,12,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,81.97080409,40.2868339,71.36525765
1778,4359,Eastern Cape_3300_2555,3300_2555,Albany Broken Veld,1647.9217,5628,95,1,0,221 ER,Lower Karoo Bioregion,6,301,514.0889,25.4,1578.52,299.368,5,370.88,3.08,21.96,1986.196,12,6387.1,4562.1,12.4,22.2,0.399,0,-27.8,155.2392692,109.3392354,118.732892
1782,4363,Eastern Cape_3300_2615,3300_2615,Great Fish Thicket,6763.3653,5254,92,1,0,221 ER,Albany Thicket,6,392,502.6202,23.32,1450.5601,247.444,5.68,450.52,3,22.12,1927.0081,12.6,6384.9,4559.9,12.6,22,0.488,18.3,-11.4,251.3302446,130.9627509,226.854579
1783,4364,Eastern Cape_3300_2620,3300_2620,Great Fish Thicket,6763.3653,4978,71,0,0,221 ER,Albany Thicket,6,391,515.2935,23.96,1433.64,255.588,5.76,487.36,3.08,22.04,1905.5,12.6,6384.9,4559.9,12.6,22,0.488,18.3,-11.4,317.9766669,151.3876079,292.6055365
1784,4365,Eastern Cape_3300_2625,3300_2625,Great Fish Thicket,6763.3653,4978,71,1,0,221 ER,Albany Thicket,5.96,348,546.8109,24.72,1400.6801,309.852,5.48,502.88,3,21.6,1862.252,12.2,6384.9,4559.9,12.6,22,0.488,18.3,-11.4,252.6358098,88.22578242,239.0251033
1785,4366,Eastern Cape_3300_2630,3300_2630,Great Fish Thicket,6763.3653,4978,69,1,0,221 ER,Albany Thicket,5.44,412,514.5615,25.68,1394.28,273.62,5.76,500.24,3,21.76,1853.876,12.48,6690.1,4865.1,13.5,22.9,0.458,12.5,-15.8,298.6770779,102.0194389,290.0758521
1786,4367,Eastern Cape_3300_2635,3300_2635,Great Fish Thicket,6763.3653,4900,71,1,0,221 ER,Albany Thicket,5.36,329,344.4239,26.72,1422.16,112.66,6.64,435.68,3,22.6,1891.668,13.28,6690.1,4865.1,13.5,22.9,0.458,12.5,-15.8,286.1846762,145.8414398,272.7581346
1828,4486,Western Cape_3255_1940,3255_1940,Tanqua Karoo,6988.3135,3690,79,0,0,Buffer,Rainshadow Valley Karoo Bioregion,2,590,625.8124,49.64,1505.2,898.292,3,230.08,22.88,22.76,2407.9961,9.6,5178.9,3353.9,7.7,20.9,0.215,45.4,-91.8,132.0709952,158.1289686,59.53150367
1829,4487,Western Cape_3255_1945,3255_1945,Tanqua Karoo,6988.3135,4473,79,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,76,553.1348,48.12,1556.08,790.816,2.92,136.96,22.16,23,2487.0759,9.8,6463.1,4638.1,10.2,24.8,0.11,0,-120.5,40.64296202,19.19520393,35.76310948
1830,4488,Western Cape_3255_1950,3255_1950,Tanqua Wash Riviere,2130.0794,4687,79,1,0,208 ER,Inland Saline Vegetation,2,57,562.2953,46.96,1571.2,783.06,3,143.84,23.48,23,2511.3599,10,6463.1,4638.1,10.2,24.8,0.11,0,-120.5,29.07615219,12.49148048,26.45751311
1831,4489,Western Cape_3255_1955,3255_1955,Tanqua Karoo,6988.3135,5050,79,1,0,208 ER,Rainshadow Valley Karoo Bioregion,2,92,598.4762,46.12,1572.88,820.368,2.24,152.48,25.52,23,2514.208,9.92,6463.1,4638.1,10.2,24.8,0.11,0,-120.5,31.09989472,18.52244665,26.45751311
1832,4490,Western Cape_3255_2000,3255_2000,Tanqua Wash Riviere,2130.0794,5693,79,0,0,208 ER,Inland Saline Vegetation,2,418,706.2025,45.44,1558.04,924.228,2,237.28,27.84,22.96,2490.1279,9.16,5981.3,4156.3,9,23.3,0.105,0,-125,140.3382065,165.3637659,68.04777644
1833,4491,Western Cape_3255_2005,3255_2005,Koedoesberge-Moordenaars Karoo,4714.5009,5675,79,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,483,838.1779,45,1544.4,1043.42,1.8,271.72,30.36,22.56,2466.688,8.96,5981.3,4156.3,9,23.3,0.105,0,-125,247.9283745,193.3380573,213.574342
1834,4492,Western Cape_3255_2010,3255_2010,Koedoesberge-Moordenaars Karoo,4714.5009,5655,79,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,349,855.4339,45,1565.04,1081.556,1.96,244.36,31.92,22.56,2458.6401,8.84,5981.3,4156.3,9,23.3,0.105,0,-125,170.9116169,126.9275645,121.7497433
1835,4493,Western Cape_3255_2015,3255_2015,Koedoesberge-Moordenaars Karoo,4714.5009,5704,100,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,419,934.7002,44.68,1605.2,1156.524,2,229.36,36.8,22.04,2442.9399,8.84,5485.1,3660.1,7.8,21.6,0.127,0,-114.5,181.2771501,108.5086658,148.0574213
1836,4494,Northern Cape_3255_2020,3255_2020,Koedoesberge-Moordenaars Karoo,4714.5009,6145,100,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,539,1073.4504,44.6,1576.6,1374.816,1.44,259.8,43.2,21.44,2394.6279,7.96,5485.1,3660.1,7.8,21.6,0.127,0,-114.5,267.1161987,145.7678973,238.8870026
1837,4495,Northern Cape_3255_2025,3255_2025,Central Mountain Shale Renosterveld,1236.5128,7148,100,0,0,208 ER,Karoo Renosterveld Bioregion,2,491,1262.8345,45.32,1545.16,1555.672,0.88,314.08,51.64,20.64,2346.8201,7.16,5485.1,3660.1,7.8,21.6,0.127,0,-114.5,294.7755968,141.721176,261.6619951
1838,4496,Northern Cape_3255_2030,3255_2030,Central Mountain Shale Renosterveld,1236.5128,7200,100,1,0,208 ER,Karoo Renosterveld Bioregion,2,349,1232.9812,45.32,1539.4399,1516.42,1,285.28,52.4,20.8,2339.072,7.36,5225.4,3400.5,7.1,20.7,0.146,0,-108.2,214.1182887,123.0616359,182.4732855
1839,4497,Northern Cape_3255_2035,3255_2035,Central Mountain Shale Renosterveld,1236.5128,6767,100,1,0,208 ER,Karoo Renosterveld Bioregion,2,367,1127.4021,39.48,1556.28,1402.12,1.16,255.48,46.96,21.08,2364.252,7.92,5225.4,3400.5,7.1,20.7,0.146,0,-108.2,172.1292785,83.20513275,156.7290656
1840,4498,Northern Cape_3255_2040,3255_2040,Koedoesberge-Moordenaars Karoo,4714.5009,6276,100,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,377,1045.2687,34.68,1575.04,1290.96,1.68,244.44,41.36,21.44,2393.1641,8.28,5225.4,3400.5,7.1,20.7,0.146,0,-108.2,227.9609781,93.46022178,216.4047134
1841,4499,Western Cape_3255_2045,3255_2045,Koedoesberge-Moordenaars Karoo,4714.5009,5654,79,0,0,208 ER,Rainshadow Valley Karoo Bioregion,2,411,948.5865,31.36,1594,1143.8719,1.96,223.64,33.96,21.88,2421.252,8.72,5420.2,3595.2,7.3,21.3,0.134,0,-117.9,291.6003949,109.2752887,275.2017442
1842,4500,Western Cape_3255_2050,3255_2050,Koedoesberge-Moordenaars Karoo,4714.5009,5654,79,0,0,208 ER,Rainshadow Valley Karoo Bioregion,3.76,432,962.3189,28.76,1596.08,963.672,2,230,31.04,21.96,2424.636,8.88,5420.2,3595.2,7.3,21.3,0.134,0,-117.9,196.0098417,95.87220395,176.2328006
1843,4501,Western Cape_3255_2055,3255_2055,Koedoesberge-Moordenaars Karoo,4714.5009,5719,100,1,0,208 ER,Rainshadow Valley Karoo Bioregion,6,302,900.2316,27.36,1612.52,817.724,2.08,221.44,29.44,22.16,2449.552,9.08,5420.2,3595.2,7.3,21.3,0.134,0,-117.9,180.5046442,87.42562362,166.1685891
1844,4502,Western Cape_3255_2100,3255_2100,Gamka Karoo,20324.9068,6896,100,0,0,208 ER,Lower Karoo Bioregion,6,507,1023.7109,26.72,1584.2,959.396,1.6,213.56,37.24,21.6,2406.5559,8.56,5241.4,3416.4,6.9,20.7,0.155,0,-110.5,256.0687228,127.1632111,231.9762919
1845,4503,Western Cape_3255_2105,3255_2105,Gamka Karoo,20324.9068,7214,100,0,0,208 ER,Lower Karoo Bioregion,6,521,1124.9974,26.72,1572.16,1018.808,1.48,211.52,41.08,21.2,2388.6399,8.4,5241.4,3416.4,6.9,20.7,0.155,0,-110.5,279.4998754,154.8073464,234.6444118
1846,4504,Western Cape_3255_2110,3255_2110,Gamka Karoo,20324.9068,7214,100,1,0,208 ER,Lower Karoo Bioregion,6,659,988.0691,27.48,1599,874.04,1.96,200.52,34.36,21.96,2429.2839,8.96,5241.4,3416.4,6.9,20.7,0.155,0,-110.5,264.6084587,195.2609854,206.2910565
1847,4505,Western Cape_3255_2115,3255_2115,Gamka Karoo,20324.9068,7214,100,1,0,208 ER,Lower Karoo Bioregion,6,399,829.3441,28.6,1620.08,738.172,2.48,180.16,27.64,22.2,2461.4761,9.64,6002.7,4177.7,8.5,22.8,0.112,0,-134.6,206.071983,128.025038,175.6616065
1848,4506,Western Cape_3255_2120,3255_2120,Gamka Karoo,20324.9068,7214,100,1,0,208 ER,Lower Karoo Bioregion,6,249,663.1866,28.96,1651.48,546.076,3,168.8,21.52,23,2508.324,10.04,6002.7,4177.7,8.5,22.8,0.112,0,-134.6,116.1415516,74.23721239,92.9946235
1849,4507,Western Cape_3255_2125,3255_2125,Gamka Karoo,20324.9068,7169,100,0,0,208 ER,Lower Karoo Bioregion,6,190,563.7944,29.76,1670.5601,465.844,3.12,166.36,17.28,23.12,2537.592,10.96,6002.7,4177.7,8.5,22.8,0.112,0,-134.6,116.9951502,54.44514202,105.1475137
1850,4508,Western Cape_3255_2130,3255_2130,Gamka Karoo,20324.9068,7214,100,0,0,208 ER,Lower Karoo Bioregion,6,151,584.4328,31.8,1681.6,486.108,3.48,110.96,16.6,23,2554.52,11,5961.8,4136.8,8.7,22.4,0.122,0,-131.6,96.19212945,49.73144726,88.12206889
1851,4509,Western Cape_3255_2135,3255_2135,Gamka Karoo,20324.9068,7214,100,1,1,208 ER,Lower Karoo Bioregion,6,183,637.6662,35.92,1671.5,522.84,3.2,91.52,18.25,23,2539.2051,10.6,5961.8,4136.8,8.7,22.4,0.122,0,-131.6,91.80930195,49.07072932,79.9718695
1852,4510,Western Cape_3255_2140,3255_2140,Gamka Karoo,20324.9068,7214,100,1,0,208 ER,Lower Karoo Bioregion,6,224,667.0616,40.12,1662.08,538.736,3.08,120.28,19.04,23,2525.592,10.44,5961.8,4136.8,8.7,22.4,0.122,0,-131.6,88.92403573,77.3408253,62.30569797
1853,4511,Western Cape_3255_2145,3255_2145,Gamka Karoo,20324.9068,7215,100,1,0,208 ER,Lower Karoo Bioregion,6,216,686.1311,37.44,1659.08,579.58,3.16,128.12,19.44,23,2521.188,10.28,6093.3,4268.3,9.4,22.7,0.123,0,-131.4,97.49185842,67.32475401,77.72387021
1854,4512,Western Cape_3255_2150,3255_2150,Gamka Karoo,20324.9068,7215,100,0,0,208 ER,Lower Karoo Bioregion,6,240,636.0823,36.04,1666.76,539.556,3.6,98.72,17,23,2532.988,10.68,6093.3,4268.3,9.4,22.7,0.123,0,-131.4,96.58036051,69.59453532,71.58910532
1855,4513,Western Cape_3255_2155,3255_2155,Gamka Karoo,20324.9068,7162,100,1,0,208 ER,Lower Karoo Bioregion,6,144,540.2578,34.64,1675.72,461.912,4,104.12,12.88,23.04,2546.752,11,6093.3,4268.3,9.4,22.7,0.123,0,-131.4,65.55489652,43.99283377,50.25932651
1856,4514,Western Cape_3255_2200,3255_2200,Gamka Karoo,20324.9068,7215,100,1,0,208 ER,Lower Karoo Bioregion,6,128,557.1683,33.68,1666.6801,456.252,4,138.6,12.64,23,2533.3281,11,6117,4292,10,22.7,0.144,0,-122.5,49.30885028,25.18733142,42.48529157
1857,4515,Western Cape_3255_2205,3255_2205,Gamka Karoo,20324.9068,7216,100,1,0,208 ER,Lower Karoo Bioregion,6,180,644.3068,33.48,1652.36,532.964,3.56,131.92,17.24,23,2511.3879,10.8,6117,4292,10,22.7,0.144,0,-122.5,65.52614885,35.3851124,56.65244902
1858,4516,Western Cape_3255_2210,3255_2210,Gamka Karoo,20324.9068,7216,100,1,0,208 ER,Lower Karoo Bioregion,6,249,750.2574,31.32,1630.6,655.676,3,148.08,22.76,22.44,2477.936,10.04,6117,4292,10,22.7,0.144,0,-122.5,76.67444865,34.50052808,68.81496921
1859,4517,Western Cape_3255_2215,3255_2215,Gamka Karoo,20324.9068,7216,100,1,0,208 ER,Lower Karoo Bioregion,6,367,862.5272,27.28,1604.2,807.524,2.56,161.88,29.08,21.92,2438.6279,9.4,5782.1,3957.1,9.6,21.6,0.209,0,-95.2,119.1307626,45.25426986,111.635564
1860,4518,Western Cape_3255_2220,3255_2220,Gamka Karoo,20324.9068,7217,100,1,0,208 ER,Lower Karoo Bioregion,6,278,961.3856,26.52,1581.96,921.156,2.08,172.44,35.16,21.6,2404.876,8.8,5782.1,3957.1,9.6,21.6,0.209,0,-95.2,112.7273276,50.76114618,109.0114673
1861,4519,Western Cape_3255_2225,3255_2225,Gamka Karoo,20324.9068,7217,100,0,0,208 ER,Lower Karoo Bioregion,6,182,1010.2414,26.84,1577.4,955.336,2,171.52,39.24,21.2,2397.468,8.84,5782.1,3957.1,9.6,21.6,0.209,0,-95.2,76.34409466,37.4437793,69.9428338
1862,4520,Western Cape_3255_2230,3255_2230,Gamka Karoo,20324.9068,7217,100,1,0,208 ER,Lower Karoo Bioregion,6,86,1046.5099,27.48,1577.72,980.844,2,152.88,41.48,21,2399.0559,8.96,5680.2,3855.2,9.6,21.3,0.245,0,-81,40.16970285,16.9701407,35.63705936
1863,4521,Western Cape_3255_2235,3255_2235,Gamka Karoo,20324.9068,7218,100,0,0,208 ER,Lower Karoo Bioregion,6,111,1045.1605,27.48,1576.08,982.552,2,156.84,41.4,21,2396.24,8.8,5680.2,3855.2,9.6,21.3,0.245,0,-81,51.43836213,30.09019514,42.66145802
1864,4522,Western Cape_3255_2240,3255_2240,Gamka Karoo,20324.9068,7218,100,1,0,208 ER,Lower Karoo Bioregion,6,136,1005.4553,28,1580.16,945.396,2,157.24,38.72,21,2401.936,9,5680.2,3855.2,9.6,21.3,0.245,0,-81,46.62789549,19.56788819,41.19465985
1865,4523,Western Cape_3255_2245,3255_2245,Gamka Karoo,20324.9068,7219,100,1,0,208 ER,Lower Karoo Bioregion,6,92,990.2653,30.04,1583.12,933.412,2,146.44,37.36,21,2406.2119,9,5914.3,4089.3,10.1,22.1,0.232,0,-88,40.31142548,11.19582058,38.28837944
1866,4524,Western Cape_3255_2250,3255_2250,Gamka Karoo,20324.9068,7219,100,1,0,208 ER,Lower Karoo Bioregion,6,125,952.1748,31.76,1586.04,902.72,2,142.68,35.76,21.24,2411.272,9,5914.3,4089.3,10.1,22.1,0.232,0,-88,35.54266901,13.9606783,32.10918872
1867,4525,Western Cape_3255_2255,3255_2255,Gamka Karoo,20324.9068,7220,100,1,0,208 ER,Lower Karoo Bioregion,6,140,904.5788,32.64,1590.64,852.024,2.04,144.44,33,21.68,2417.604,9,5914.3,4089.3,10.1,22.1,0.232,0,-88,31.28913494,9.356617285,29
1868,4526,Eastern Cape_3255_2300,3255_2300,Southern Karoo Riviere,5299.1347,7196,100,1,0,208 ER,Inland Saline Vegetation,6,105,847.9383,32.8,1598.52,785.672,2.84,134.8,29.12,22,2430.1279,9.68,6120.4,4295.4,10.5,22.8,0.213,0,-97.2,26.62724077,8.925353542,24.22808288
1869,4527,Eastern Cape_3255_2305,3255_2305,Gamka Karoo,20324.9068,7190,100,1,0,208 ER,Lower Karoo Bioregion,6,80,805.5308,32.8,1602.48,717.548,3,140.12,26.28,22,2435.584,10,6120.4,4295.4,10.5,22.8,0.213,0,-97.2,23.32593552,7.39938285,21.64485774
1870,4528,Eastern Cape_3255_2310,3255_2310,Gamka Karoo,20324.9068,7199,100,0,0,208 ER,Lower Karoo Bioregion,6,86,777.8977,33.16,1610.16,671.188,2.96,151.12,25.12,22.04,2447.4761,10,6120.4,4295.4,10.5,22.8,0.213,0,-97.2,21.86442241,5.404675942,20.92844954
1871,4529,Eastern Cape_3255_2315,3255_2315,Gamka Karoo,20324.9068,7174,100,1,0,208 ER,Lower Karoo Bioregion,6,64,751.6836,34,1688.48,563.292,2.24,157.72,28.4,22.76,2566.9641,10,6152.9,4327.9,10.4,23,0.211,0,-98.6,19.70626065,6.83010853,18.734994
1872,4530,Eastern Cape_3255_2320,3255_2320,Southern Karoo Riviere,5299.1347,7115,100,1,0,208 ER,Inland Saline Vegetation,6,43,732.2498,35.6,1700.6801,519.348,2,175.16,28.16,23,2584.5801,10,6152.9,4327.9,10.4,23,0.211,0,-98.6,20.24114425,7.399880704,18.90766578
1873,4531,Eastern Cape_3255_2325,3255_2325,Gamka Karoo,20324.9068,7186,100,0,0,208 ER,Lower Karoo Bioregion,6,64,731.0641,34.2,1677.04,530.46,2,164.32,28.72,23,2548.748,10,6152.9,4327.9,10.4,23,0.211,0,-98.6,23.84690322,9.664292834,21.74856317
1874,4532,Eastern Cape_3255_2330,3255_2330,Southern Karoo Riviere,5299.1347,7041,100,1,0,208 ER,Inland Saline Vegetation,6,60,732.6944,33.44,1674.84,520.36,2,168.24,28.36,23,2545.8401,10,6141.8,4316.8,10.2,22.9,0.212,0,-99.2,25.59280346,15.32621214,21.54065923
1875,4533,Eastern Cape_3255_2335,3255_2335,Eastern Lower Karoo,8321.0626,6918,100,1,0,208 ER,Lower Karoo Bioregion,6,315,805.9358,33.04,1717.84,567.584,1.84,200.8,31.56,22.8,2506.8401,9.92,6141.8,4316.8,10.2,22.9,0.212,0,-99.2,68.46066382,97.93692473,36.76955262
1876,4534,Eastern Cape_3255_2340,3255_2340,Eastern Lower Karoo,8321.0626,4397,100,1,1,208 ER,Lower Karoo Bioregion,6,524,951.7176,32.8,1942.08,677.592,1,196.96,37.52,22,2474.1919,8.96,6141.8,4316.8,10.2,22.9,0.212,0,-99.2,205.1775614,178.9673191,146.9659825
1877,4535,Eastern Cape_3255_2345,3255_2345,Eastern Lower Karoo,8321.0626,4519,100,1,0,208 ER,Lower Karoo Bioregion,6,350,875.9208,32.96,1958.84,641.144,1.4,222.84,35.48,22.16,2460.3999,9.44,6082.9,4257.9,10.2,22.6,0.23,0,-93,130.975016,99.58665985,95.59288676
1878,4536,Eastern Cape_3255_2350,3255_2350,Eastern Lower Karoo,8321.0626,7018,100,1,0,208 ER,Lower Karoo Bioregion,6,180,753.1107,32.6,1965.2,537.952,2.16,192.04,28.28,22.68,2468.616,10,6082.9,4257.9,10.2,22.6,0.23,0,-93,39.40963578,30.42445714,32.35737937
1879,4537,Eastern Cape_3255_2355,3255_2355,Eastern Lower Karoo,8321.0626,7169,100,1,1,208 ER,Lower Karoo Bioregion,6,127,740.5887,32.68,1948.96,517.3,2.32,198.52,26.36,22.64,2448.1799,10,6082.9,4257.9,10.2,22.6,0.23,0,-93,54.99258649,34.41890526,45.78209257
1880,4538,Eastern Cape_3255_2400,3255_2400,Lower Karoo Gwarrieveld,1569.5939,5737,100,0,0,208 ER,Lower Karoo Bioregion,6,121,780.5061,33.04,1921.28,572.392,2.12,198.28,28.6,22.32,2413.48,10,6153.1,4328.1,10.5,22.6,0.24,0,-89.9,46.44673382,24.12397691,37.82856064
1881,4539,Eastern Cape_3255_2405,3255_2405,Eastern Lower Karoo,8321.0626,6765,100,0,0,208 ER,Lower Karoo Bioregion,6,168,744.3,33.36,1897.6,560.208,2.84,200.56,24.04,22,2384.0039,10,6153.1,4328.1,10.5,22.6,0.24,0,-89.9,42.6701737,26.93539169,34.35112807
1882,4540,Eastern Cape_3255_2410,3255_2410,Eastern Lower Karoo,8321.0626,7116,100,0,0,208 ER,Lower Karoo Bioregion,6,81,682.4733,33.52,1898.72,493.064,3,227,20.2,22.36,2386.2,10.52,6153.1,4328.1,10.5,22.6,0.24,0,-89.9,35.37797652,11.65040122,33.36165464
1883,4541,Eastern Cape_3255_2415,3255_2415,Lower Karoo Gwarrieveld,1569.5939,6845,100,1,0,208 ER,Lower Karoo Bioregion,6,88,664.8006,33.6,1894.36,466.392,3,243.88,18.12,22.84,2380.6841,10.96,6309.4,4484.4,11,22.9,0.24,0,-90.8,36.35991995,13.04646999,33.51119216
1884,4542,Eastern Cape_3255_2420,3255_2420,Eastern Lower Karoo,8321.0626,6988,100,0,0,208 ER,Lower Karoo Bioregion,6,115,618.093,33.68,1894.8,436.972,3.32,236.68,15.48,23,2381.28,11,6309.4,4484.4,11,22.9,0.24,0,-90.8,50.07839827,17.96374825,47.30750469
