PENTAD,PENTAD ID,POINT SITE FARM,BioGaps Track No,Family,Genus,SPECIES,NO_SPEC,DETERMINED,Country,Prov,Distr,Locality,QDS,LAT1,LONG1,LATDEC1,LONDEC1,LAT2,LONG2,LATDEC2,LONDEC2,ALT,DD1,MM1,YYYY1,DD2,MM2,YYYY2,Collectors,MAIN VEGETATION TYPE,BIOREGION,GENERAL HABITAT,COLLECTION METHOD,WEATHER AT NIGHT,SPECIMEN DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:37 RC,Buthidae,Uroplectes,Uroplectes schlechteri,1,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in rocky areas along riverbed, sitting/walking on ground/bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255_2220,1860,Klein Waterval,2017-12-21 22:21:37 RC,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,7,"L. Prendini, 2017",South Africa,Western Cape Province,Prince Albert District,Farm Klein Waterval on Spreeuw Fontein 26,3222CD,32°58.204'S,22°21.141'E,-32.96672333,22.35003917,,,,,955 m,21,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on rolling hills intersected by dry riverbed, many emergent sandstone and shale outcrops, loose and embedded stones, with small bushes and occasional larger bushes (Euclea, Rhus and A. karoo) on shaley-loam","day, rock-rolling; night, UV light detection","cool, windy, somewhat humid (post-rain) night, first quarter moon sank 9:30 pm","uncommon in scrapes under stones during daytime, more commonly observed sitting on ground in rocky areas and along banks of dry riverbed with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 19:52:15 RC,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,10,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","day, rock-rolling; night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","common in scrapes under stones during daytime, few observed doorkeeping or sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 19:54:35 LP,Scorpionidae,Opistophthalmus,Opistophthalmus crassimanus,4,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","day, burrow excavation; night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","during daytime, one male and female excavated from burrows ca. 30–40 cm deep in open ground in riverbed, two females excavated from burrows, ca. 30 cm deep, in open ground on gentle slope, another male collected sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 19:54:35 LP,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,41,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","day, rock-rolling; night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","common in scrapes under stones during daytime, few observed doorkeeping or sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:53:37 RC,Buthidae,Parabuthus,Parabuthus capensis,2,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","several specimens walking on ground, mostly in riverine area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:53:37 RC,Buthidae,Uroplectes,Uroplectes gracilior,2,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","specimens uncommon, mostly sitting on bushes, few walking on ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:55:35 LP,Buthidae,Parabuthus,Parabuthus capensis,9,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","several specimens walking on ground, mostly in riverine area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:55:35 LP,Buthidae,Parabuthus,Parabuthus schlechteri,2,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","male walking on ground, subad. sitting under bush, both in riverine area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:55:35 LP,Buthidae,Uroplectes,Uroplectes gracilior,12,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","specimens uncommon, mostly sitting on bushes, few walking on ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:55:35 LP,Scorpionidae,Opistophthalmus,Opistophthalmus crassimanus,1,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","day, burrow excavation; night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","during daytime, one male and female excavated from burrows ca. 30–40 cm deep in open ground in riverbed, two females excavated from burrows, ca. 30 cm deep, in open ground on gentle slope, another male collected sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245_2315,2127,Kalkdam,2017-12-20 22:55:35 LP,Scorpionidae,Opistophthalmus,Opistophthalmus karrooensis,6,"L. Prendini, 2017",South Africa,Western Cape Province,Beaufort West District,Farm Kalkdam on Upper Bush Dove River 343,3223CD,32°48.358'S,23°19.185'E,-32.80009944,23.31671806,,,,,784 m,20,12,2017,,,,L. Prendini & R. Christiaan,Gamka Karoo,Lower Karoo Bioregion,"Nama Karoo on gently sloping with scattered stones and few low emergent rock ridges (shale and sandstone), very small bushes, no grass, leading down to dry riverbed with many large A. karoo trees and smaller bushes on yellowish compacted silt/clay","day, rock-rolling; night, UV light detection","cool, dark night (first quarter moon sank 9 pm), initially still, wind became stronger later","common in scrapes under stones during daytime, few observed doorkeeping or sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 19:29:47 LP,Scorpionidae,Opistophthalmus,Opistophthalmus crassimanus,2,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","day, burrow excavation; night, UV light detection","cool, moonless night, still at first, light breeze later","two females and one juvenile excavated from burrows, ca. 30–40 cm deep, in open ground/at base of bushes in daytime, two males collected sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 19:31:29 RC,Scorpionidae,Opistophthalmus,Opistophthalmus crassimanus,1,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","day, burrow excavation; night, UV light detection","cool, moonless night, still at first, light breeze later","two females and one juvenile excavated from burrows, ca. 30–40 cm deep, in open ground/at base of bushes in daytime, two males collected sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 22:42:04 LP,Buthidae,Parabuthus,Parabuthus capensis,4,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","night, UV light detection","cool, moonless night, still at first, light breeze later","uncommon, walking on ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 22:42:04 LP,Buthidae,Uroplectes,Uroplectes gracilior,29,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","night, UV light detection","cool, moonless night, still at first, light breeze later","fairly common, sitting on bushes or walking on ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 22:42:04 LP,Scorpionidae,Opistophthalmus,Opistophthalmus crassimanus,2,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","day, burrow excavation; night, UV light detection","cool, moonless night, still at first, light breeze later","two females and one juvenile excavated from burrows, ca. 30–40 cm deep, in open ground/at base of bushes in daytime, two males collected sitting on ground with UV light detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 23:02:07 RC,Buthidae,Parabuthus,Parabuthus capensis,3,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","night, UV light detection","cool, moonless night, still at first, light breeze later","uncommon, walking on ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225_2335,2649,"Rooidraai, Oorlogspoort",2017-12-19 23:02:07 RC,Buthidae,Parabuthus,Parabuthus granulatus,1,"L. Prendini, 2017",South Africa,Eastern Cape Province,Aberdeen District,Farm Rooidraai on Oorlogspoort 85,3223BC,32°29.027'S,23°36.802'E,-32.48334083,23.60022278,32°28.744'S,23°36.680'E,-32.46687333,23.60018889,839 m,19,12,2017,,,,L. Prendini & R. Christiaan,Eastern Lower Karoo,Lower Karoo Bioregion,"Nama Karoo on flat plain with drainage lines and pans in places, scattered A. karoo bushes along drainage lines, small bushes elsewhere, no grass, mostly on hard, blocky grey clay, softer reddish sandy-loam in places, some areas with small pebbles on ground surface","night, UV light detection","cool, moonless night, still at first, light breeze later",walking on ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
